ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
98292007,Bennington Residences @ SkyArena,2019.0,RM 3 000 per month,Kuala Lumpur - Setapak,Condominium,3,2.0,2.0,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift
100321936,Sri Putramas,2004.0,RM 1 600 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1100 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Sauna
99492392,3 Towers,2015.0,RM 2 500 per month,Kuala Lumpur - Ampang Hilir,Condominium,2,1.0,1.0,890 sq.ft.,Fully Furnished,"Security, Gymnasium, Multipurpose hall
100036659,One Maxim,2020.0,RM 1 300 per month,Kuala Lumpur - Sentul,Service Residence,2,1.0,2.0,650 sq.ft.,Partially Furnished,"Jogging Track, Playground, Parking
99528357,Casa Mutiara,2007.0,RM 2 000 per month,Kuala Lumpur - Bukit Bintang,Service Residence,2,1.0,2.0,742 sq.ft.,Fully Furnished,"Gymnasium, Sauna, Parking
100273689,Laman Tasik,2002.0,RM 2 100 per month,Kuala Lumpur - Cheras,Condominium,4,1.0,3.0,1300 sq.ft.,Fully Furnished,"Parking, Security, Minimart
100033960,The Hamilton,2020.0,RM 2 600 per month,Kuala Lumpur - Wangsa Maju,Condominium,4,2.0,2.0,1000 sq.ft.,Fully Furnished,"Playground, Jogging Track, Multipurpose hall
99844667,3 Towers,2015.0,RM 2 000 per month,Kuala Lumpur - Ampang Hilir,Service Residence,1,1.0,1.0,440 sq.ft.,Fully Furnished,"Barbeque area, Multipurpose hall, Parking
100321800,The Havre @ Bukit Jalil,2020.0,RM 2 500 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,2.0,2.0,1028 sq.ft.,Fully Furnished,"Security, Squash Court, Jogging Track
100321689,Majestic Maxim,2021.0,RM 1 400 per month,Kuala Lumpur - Cheras,Service Residence,2,2.0,2.0,650 sq.ft.,Not Furnished,"Parking, Gymnasium, Jogging Track
100321665,KL Traders Square Residences,2019.0,RM 1 400 per month,Kuala Lumpur - Gombak,Service Residence,3,1.0,2.0,850 sq.ft.,Not Furnished,"Swimming Pool, Lift, Security
100321251,Maxim Citilights,2017.0,RM 1 300 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,1150 sq.ft.,Not Furnished,"Security, Minimart, Playground
100321196,Banyan Tree,2015.0,RM 7 000 per month,Kuala Lumpur - KLCC,Condominium,2,1.0,2.0,1076 sq.ft.,Fully Furnished,"Parking, Security, Lift
100321040,Faber Ria,1985.0,RM 1 300 per month,Kuala Lumpur - Taman Desa,Condominium,2,1.0,2.0,1050 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Tennis Court
100321021,Banyan Tree,2015.0,RM 7 800 per month,Kuala Lumpur - KLCC,Condominium,2,1.0,2.0,1076 sq.ft.,Fully Furnished,"Parking, Security, Lift
16717632,Villa Wangsamas,2010.0,RM 2 000 per month,Kuala Lumpur - Wangsa Maju,Condominium,3,1.0,3.0,1267 sq.ft.,Fully Furnished,"Parking, Security, Lift
100321008,Central Residence @ Sg Besi,2015.0,RM 1 750 per month,Kuala Lumpur - Sungai Besi,Condominium,3,2.0,2.0,1121 sq.ft.,Fully Furnished,"Playground, Barbeque area, Sauna
100320875,Unio Residence,2021.0,RM 2 000 per month,Kuala Lumpur - Kepong,Apartment,2,1.0,2.0,872 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Tennis Court
100320954,1 Petaling,2012.0,RM 1 100 per month,Kuala Lumpur - Sungai Besi,Condominium,3,1.0,2.0,904 sq.ft.,Partially Furnished,"Jogging Track, Swimming Pool, Playground
100320836,Unio Residence,2021.0,RM 1 900 per month,Kuala Lumpur - Kepong,Service Residence,2,1.0,2.0,1132 sq.ft.,Partially Furnished,"Minimart, Playground, Swimming Pool
100320688,PV9 Residences @ Taman Melati,2022.0,RM 2 100 per month,Kuala Lumpur - Setapak,Service Residence,3,2.0,2.0,1000 sq.ft.,Partially Furnished,"Parking, Security, Lift
100320795,Suasana Lumayan,2015.0,RM 1 550 per month,Kuala Lumpur - Cheras,Condominium,4,1.0,2.0,1142 sq.ft.,Partially Furnished,"Minimart, Sauna, Security
100320796,Plaza Prima Setapak,2006.0,RM 1 400 per month,Kuala Lumpur - Setapak,Condominium,4,2.0,2.0,1300 sq.ft.,Partially Furnished,"Parking, Security, Lift
100320547,One Maxim,2020.0,RM 1 300 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,819 sq.ft.,Partially Furnished,"Parking, Sauna, Barbeque area
100320546,M Centura,2021.0,RM 2 500 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,850 sq.ft.,Fully Furnished,"Parking, Security, Lift
100320543,PV9 Residences @ Taman Melati,2022.0,RM 2 300 per month,Kuala Lumpur - Setapak,Service Residence,3,2.0,2.0,1000 sq.ft.,Partially Furnished,"Parking, Security, Lift
100320529,Majestic Maxim,2021.0,RM 1 350 per month,Kuala Lumpur - Cheras,Service Residence,2,1.0,1.0,650 sq.ft.,Partially Furnished,"Parking, Gymnasium, Jogging Track
100320520,Residensi KepongMas,2020.0,RM 1 100 per month,Kuala Lumpur - Kepong,Apartment,3,2.0,2.0,800 sq.ft.,Partially Furnished,"Parking, Security, Lift
100320656,Bayu Sentul Condominium,2015.0,RM 1 700 per month,Kuala Lumpur - Sentul,Condominium,3,2.0,2.0,1300 sq.ft.,Partially Furnished,"Parking, Security, Lift
100320507,M Centura,2021.0,RM 1 650 per month,Kuala Lumpur - Sentul,Service Residence,3,2.0,2.0,850 sq.ft.,Partially Furnished,Parking,"Cooking Allowed, Air-Cond"
100320503,M Centura,2021.0,RM 1 200 per month,Kuala Lumpur - Sentul,Service Residence,2,1.0,1.0,646 sq.ft.,Not Furnished,"Parking, Gymnasium, Security
100320593,OG Heights,1988.0,RM 1 200 per month,Kuala Lumpur - Pantai,Condominium,2,1.0,2.0,1000 sq.ft.,Partially Furnished,"Parking, Jogging Track, Tennis Court
100235780,8 Petaling,2014.0,RM 2 599 per month,Kuala Lumpur - Sri Petaling,Condominium,4,3.0,5.0,1899 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool
100279958,Hedgeford 10 Residences @ Wangsa Maju,2015.0,RM 1 200 per month,Kuala Lumpur - Wangsa Maju,Service Residence,1,1.0,1.0,521 sq.ft.,Partially Furnished,"Security, Swimming Pool, Jogging Track
100256144,The Establishment,2018.0,RM 2 500 per month,Kuala Lumpur - Brickfields,Service Residence,1,1.0,1.0,468 sq.ft.,Fully Furnished,Parking,"Air-Cond, Cooking Allowed
100320298,The Henge Kepong,2019.0,RM 2 200 per month,Kuala Lumpur - Kepong,Condominium,3,2.0,2.0,1100 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Jogging Track
100262241,Suasana Lumayan,2015.0,RM 1 500 per month,Kuala Lumpur - Cheras,Condominium,4,1.0,2.0,1142 sq.ft.,Partially Furnished,"Parking, Security, Lift
99879586,Lakeville Residence,2017.0,RM 1 900 per month,Kuala Lumpur - Jalan Ipoh,Condominium,3,2.0,2.0,1193 sq.ft.,Partially Furnished,"Gymnasium, Parking, Security
100320270,Arte Plus Jalan Ampang,2018.0,RM 2 100 per month,Kuala Lumpur - Ampang,Service Residence,3,2.0,2.0,1200 sq.ft.,Fully Furnished,"Parking, Gymnasium, Jogging Track
99764987,Platinum OUG Residence,2021.0,RM 1 450 per month,Kuala Lumpur - Kuchai Lama,Condominium,3,1.0,2.0,1100 sq.ft.,Partially Furnished,"Security, Playground, Gymnasium
100103263,First Residence,2012.0,RM 1 600 per month,Kuala Lumpur - Kepong,Condominium,3,1.0,2.0,1070 sq.ft.,Partially Furnished,"Barbeque area, Swimming Pool, Security
100319477,Regalia Residence,2012.0,RM 2 000 per month,Kuala Lumpur - Jalan Sultan Ismail,Service Residence,1,1.0,1.0,560 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool
100319350,Unio Residence,2021.0,RM 2 200 per month,Kuala Lumpur - Kepong,Apartment,2,1.0,2.0,866 sq.ft.,Fully Furnished,"Jogging Track, Security, Swimming Pool
100319283,Legasi Kampong Bharu,2020.0,RM 3 300 per month,Kuala Lumpur - KL City,Apartment,3,1.0,2.0,950 sq.ft.,Fully Furnished,"Gymnasium, Parking, Playground
99884824,Bayu Tasik 2,1998.0,RM 1 500 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1000 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Playground
100318968,M Centura,2021.0,RM 2 500 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,850 sq.ft.,Partially Furnished,"Parking, Security, Lift
100318477,Desa Dua Aman Puri,1990.0,RM 850 per month,Kuala Lumpur - Kepong,Apartment,3,1.0,2.0,850 sq.ft.,Not Furnished,"Security, Minimart, Jogging Track
100318578,Kepong Sentral Condominium,2007.0,RM 999 per month,Kuala Lumpur - Kepong,Condominium,3,1.0,2.0,962 sq.ft.,Not Furnished,"Security, Minimart, Playground
100318501,The Hipster @ Taman Desa,2022.0,RM 2 100 per month,Kuala Lumpur - Taman Desa,Condominium,3,2.0,2.0,925 sq.ft.,Fully Furnished,"Security, Minimart, Swimming Pool
100250824,Sentrio Suites,2017.0,RM 1 550 per month,Kuala Lumpur - Desa Pandan,Service Residence,1,1.0,1.0,570 sq.ft.,Fully Furnished,"Parking, Security, Lift
100258228,PV9 Residences @ Taman Melati,2022.0,RM 2 499 per month,Kuala Lumpur - Setapak,Service Residence,4,3.0,2.0,1100 sq.ft.,Partially Furnished,"Security, Parking, Lift
100318185,Majestic Maxim,2021.0,RM 1 750 per month,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,819 sq.ft.,Partially Furnished,"Swimming Pool, Jogging Track, Barbeque area
100231705,EkoCheras Service Apartment,2017.0,RM 1 800 per month,Kuala Lumpur - Cheras,Service Residence,1,1.0,2.0,762 sq.ft.,Partially Furnished,"Minimart, Barbeque area, Parking
100317959,Camellia,2014.0,RM 2 200 per month,Kuala Lumpur - Bangsar South,Condominium,1,1.0,1.0,638 sq.ft.,Fully Furnished,"Club house, Playground, Parking
100317753,Bayu @ Pandan Jaya,2015.0,RM 1 700 per month,Kuala Lumpur - Pandan Jaya,Condominium,3,1.0,2.0,1072 sq.ft.,Partially Furnished,"Parking, Playground, Gymnasium
100317885,10 Semantan,2006.0,RM 1 948 per month,Kuala Lumpur - Damansara Heights,Service Residence,2,1.0,2.0,990 sq.ft.,Fully Furnished,"Parking, Sauna, Security
100317639,Impiana Sky Residensi,2021.0,RM 1 300 per month,Kuala Lumpur - Bukit Jalil,Apartment,3,1.0,2.0,850 sq.ft.,Partially Furnished,"Security, Playground, Multipurpose hall
100317852,M Vertica,2023.0,RM 2 200 per month,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,850 sq.ft.,Fully Furnished,"Security, Playground, Swimming Pool
100317846,Damai Hillpark,2015.0,RM 1 600 per month,Kuala Lumpur - Bandar Damai Perdana,Service Residence,3,2.0,2.0,1020 sq.ft.,Partially Furnished,"Parking, Security, Lift
99662226,Vina Versatile Homes,2016.0,RM 1 400 per month,Kuala Lumpur - Cheras,Studio,1,1.0,1.0,450 sq.ft.,Fully Furnished,"Parking, Security, Lift
100317353,Sri Putramas,2004.0,RM 1 500 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1100 sq.ft.,Partially Furnished,"Playground, Sauna, Security
100317337,Sri Putramas,2004.0,RM 1 600 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1100 sq.ft.,Fully Furnished,"Playground, Sauna, Security
100317317,Pangsapuri Melur (Sentul),2006.0,RM 1 400 per month,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,650 sq.ft.,Partially Furnished,"Parking, Security, Lift
100317514,Platinum OUG Residence,2021.0,RM 1 800 per month,Kuala Lumpur - Kuchai Lama,Condominium,3,1.0,2.0,1200 sq.ft.,Fully Furnished,"Playground, Security, Lift
99958032,Majestic Maxim,2021.0,RM 1 488 per month,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,819 sq.ft.,Partially Furnished,"Lift, Playground, Gymnasium
100253318,Danau Kota Suite Apartments,2018.0,RM 2 200 per month,Kuala Lumpur - Setapak,Apartment,3,1.0,2.0,829 sq.ft.,Fully Furnished,"Playground, Security, Minimart
100317300,Sri Putramas,2004.0,RM 1 500 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,2.0,2.0,1100 sq.ft.,Fully Furnished,"Playground, Sauna, Security
93216410,Sri Pelangi (Jalan Genting Kelang),2003.0,RM 1 200 per month,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,931 sq.ft.,Partially Furnished,"Parking, Security, Lift
100227255,Suasana Lumayan,2015.0,RM 1 600 per month,Kuala Lumpur - Cheras,Condominium,4,1.0,2.0,1142 sq.ft.,Partially Furnished,"Gymnasium, Security, Minimart
100317199,"The Park 2, Pavilion Bukit Jalil",2021.0,RM 3 200 per month,Kuala Lumpur - Bukit Jalil,Service Residence,2,1.0,2.0,750 sq.ft.,Fully Furnished,"Swimming Pool, Security
100317147,Majestic Maxim,2021.0,RM 1 300 per month,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,650 sq.ft.,Partially Furnished,"Gymnasium, Playground, Swimming Pool
99909032,Genting Court Condominium,1995.0,RM 1 100 per month,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,820 sq.ft.,Partially Furnished,"Minimart, Parking, Security
100316974,Royal Regent (Sri Putramas 3),2013.0,RM 2 000 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1018 sq.ft.,Fully Furnished,"Minimart, Playground, Swimming Pool
100316829,Vue Residences,2013.0,RM 1 700 per month,Kuala Lumpur - Titiwangsa,Service Residence,2,1.0,1.0,726 sq.ft.,Partially Furnished,"Gymnasium, Playground, Multipurpose hall
100218018,Nusa Mewah Villa Condominium,2014.0,RM 1 400 per month,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,865 sq.ft.,Fully Furnished,"Playground, Jogging Track, Security
100316314,Mizumi Residences,2020.0,RM 1 400 per month,Kuala Lumpur - Kepong,Service Residence,3,2.0,2.0,932 sq.ft.,Partially Furnished,"Jogging Track, Multipurpose hall, Parking
100316158,Maxim Citilights,2017.0,RM 1 350 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,1095 sq.ft.,Not Furnished,"Parking, Security, Lift
100316127,Royal Domain Sri Putramas 2,2007.0,RM 1 880 per month,Kuala Lumpur - Jalan Kuching,Service Residence,3,1.0,2.0,1290 sq.ft.,Partially Furnished,"Minimart, Sauna, Swimming Pool
100316108,Villa Crystal,2017.0,RM 1 800 per month,Kuala Lumpur - Segambut,Condominium,3,2.0,3.0,1298 sq.ft.,Partially Furnished,"Jogging Track, Gymnasium, Parking
100316104,Damansara Foresta,2016.0,RM 2 000 per month,Kuala Lumpur - Sri Damansara,Condominium,4,2.0,3.0,1492 sq.ft.,Partially Furnished,"Minimart, Jogging Track, Barbeque area
100316101,Damansara Foresta,2016.0,RM 2 800 per month,Kuala Lumpur - Sri Damansara,Condominium,3,2.0,3.0,1610 sq.ft.,Fully Furnished,"Minimart, Jogging Track, Barbeque area
100315606,Bayu Tasik 1,1999.0,RM 1 200 per month,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,975 sq.ft.,Partially Furnished,"Security, Minimart, Swimming Pool
100315337,Majestic Maxim,2021.0,RM 1 400 per month,Kuala Lumpur - Cheras,Service Residence,2,2.0,2.0,650 sq.ft.,Not Furnished,"Parking, Gymnasium, Jogging Track
100315430,The Address @ Taman Desa,2022.0,RM 3 300 per month,Kuala Lumpur - Taman Desa,Condominium,4,2.0,3.0,1118 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Parking
98145596,Regalia Residence,2012.0,RM 2 600 per month,Kuala Lumpur - Jalan Sultan Ismail,Service Residence,2,1.0,1.0,805 sq.ft.,Fully Furnished,"Playground, Gymnasium, Parking
100315398,Casa Idaman,2010.0,RM 1 700 per month,Kuala Lumpur - Jalan Ipoh,Condominium,3,1.0,2.0,1300 sq.ft.,Partially Furnished,"Parking, Security, Lift
100175889,216 Residences,2022.0,RM 1 800 per month,Kuala Lumpur - Kuchai Lama,Service Residence,2,1.0,2.0,804 sq.ft.,Fully Furnished,"Swimming Pool, Multipurpose hall, Security
100314994,The Era,2021.0,RM 2 800 per month,Kuala Lumpur - Segambut,Service Residence,3,2.0,2.0,1033 sq.ft.,Fully Furnished,"Gymnasium, Playground, Barbeque area
100314730,Residensi Hijauan Lumayan,2018.0,RM 1 200 per month,Kuala Lumpur - Sungai Besi,Apartment,3,1.0,2.0,1035 sq.ft.,Partially Furnished,"Security, Playground, Gymnasium
100314685,M Vertica,2023.0,RM 2 300 per month,Kuala Lumpur - Cheras,Condominium,4,2.0,3.0,1000 sq.ft.,Partially Furnished,"Parking, Jogging Track, Barbeque area
100314815,Bayu Tasik 1,1999.0,RM 1 400 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,920 sq.ft.,Partially Furnished,"Security, Minimart, Swimming Pool
100314485,Pangsapuri Melur (Sentul),2006.0,RM 1 750 per month,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,1010 sq.ft.,Fully Furnished,"Parking, Security, Lift
100274489,One Maxim,2020.0,RM 1 700 per month,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,819 sq.ft.,Fully Furnished,"Parking, Security, Lift
100314660,Maxim Citilights,2017.0,RM 1 350 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,1150 sq.ft.,Partially Furnished,"Jogging Track, Parking, Security
100314405,Royal Regent (Sri Putramas 3),2013.0,RM 1 800 per month,Kuala Lumpur - Jalan Kuching,Condominium,2,1.0,2.0,880 sq.ft.,Fully Furnished,"Playground, Gymnasium, Minimart
100198015,PV9 Residences @ Taman Melati,2022.0,RM 1 800 per month,Kuala Lumpur - Setapak,Service Residence,3,1.0,2.0,850 sq.ft.,Partially Furnished,"Lift, Security, Parking
100225460,Hartamas Regency II,2007.0,RM 5 800 per month,Kuala Lumpur - Mont Kiara,Condominium,7,3.0,7.0,3488 sq.ft.,Partially Furnished,"Minimart, Playground, Barbeque area
100314147,Arte Plus Jalan Ampang,2018.0,RM 1 500 per month,Kuala Lumpur - Ampang,Service Residence,1,1.0,1.0,680 sq.ft.,Fully Furnished,"Parking, Security, Lift
100314273,Maxim Residences,2017.0,RM 1 850 per month,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,1050 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security
100218337,Platinum Teratai Residence,2019.0,RM 1 499 per month,Kuala Lumpur - Setapak,Apartment,3,2.0,2.0,928 sq.ft.,Partially Furnished,"Playground, Gymnasium, Security
100133395,Pangsapuri Melur (Sentul),2006.0,RM 1 500 per month,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,1100 sq.ft.,Partially Furnished,"Parking, Security, Lift
100314051,Suasana Lumayan,2015.0,RM 1 600 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1142 sq.ft.,Partially Furnished,"Playground, Gymnasium, Security
100313974,M Vertica,2023.0,RM 2 600 per month,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,850 sq.ft.,Fully Furnished,"Parking, Security, Lift
100313954,Ascenda Residences @ SkyArena Setapak,2017.0,RM 1 700 per month,Kuala Lumpur - Setapak,Condominium,3,2.0,2.0,1200 sq.ft.,Partially Furnished,"Multipurpose hall, Parking, Security
98877856,Idaman Residence @ KLCC,2016.0,RM 4 800 per month,Kuala Lumpur - KLCC,Condominium,3,1.0,4.0,1717 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium
99862321,Residensi Sefina Mont Kiara,2019.0,RM 4 600 per month,Kuala Lumpur - Mont Kiara,Condominium,3,2.0,2.0,1548 sq.ft.,Fully Furnished,"Security, Swimming Pool, Playground
99579743,M Vertica,2023.0,RM 2 300 per month,Kuala Lumpur - Cheras,Condominium,3,3.0,2.0,850 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool
99980862,Putra Villa,2007.0,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,1125 sq.ft.,Fully Furnished,"Parking, Security, Lift
100313260,EkoCheras Service Apartment,2017.0,RM 3 500 per month,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,1121 sq.ft.,Fully Furnished,"Tennis Court, Jogging Track, Minimart
100313148,Melur Apartment (Sentul),2006.0,RM 1 700 per month,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,1065 sq.ft.,Fully Furnished,"Parking, Security, Minimart
100312995,M Centura,2021.0,RM 2 500 per month,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,850 sq.ft.,Fully Furnished,"Gymnasium, Swimming Pool, Playground
100313101,M Centura,2021.0,RM 2 400 per month,Kuala Lumpur - Sentul,Service Residence,4,2.0,2.0,1001 sq.ft.,Partially Furnished,"Parking, Security, Lift
100222061,PV9 Residences @ Taman Melati,2022.0,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,2.0,2.0,1000 sq.ft.,Fully Furnished,"Parking, Security, Lift
100312740,Panorama Residences (Sentul),2014.0,RM 1 800 per month,Kuala Lumpur - Sentul,Condominium,3,1.0,2.0,1100 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Swimming Pool
100312920,"The Veo, Kuala Lumpur",2017.0,RM 2 200 per month,Kuala Lumpur - Setapak,Condominium,1,1.0,1.0,700 sq.ft.,Fully Furnished,"Parking, Swimming Pool
100312700,Residensi Rampai II,2021.0,RM 2 000 per month,Kuala Lumpur - Setapak,Apartment,4,2.0,2.0,950 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium
99907005,Residensi Rampai II,2021.0,RM 1 900 per month,Kuala Lumpur - Setapak,Condominium,4,2.0,2.0,950 sq.ft.,Partially Furnished,"Playground, Barbeque area, Security
100312405,Putra Villa,2007.0,RM 1 800 per month,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,1076 sq.ft.,Fully Furnished,"Minimart, Club house, Gymnasium
100312152,28 Boulevard,2019.0,RM 1 900 per month,Kuala Lumpur - Pandan Perdana,Apartment,2,1.0,2.0,678 sq.ft.,Fully Furnished,"Minimart, Security, Squash Court
100312333,222 Residency,2013.0,RM 650 per month,Kuala Lumpur - Setapak,Condominium,4,2.0,2.0,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift
99534358,Trinity Aquata,2019.0,RM 1 900 per month,Kuala Lumpur - Sungai Besi,Condominium,3,2.0,2.0,1216 sq.ft.,Partially Furnished,"Security, Swimming Pool, Gymnasium
99717664,D'Suria Condominium,2015.0,RM 2 400 per month,Kuala Lumpur - Ampang,Condominium,3,1.0,2.0,1060 sq.ft.,Fully Furnished,"Security, Parking, Swimming Pool
100204198,M Vertica,2023.0,RM 1 800 per month,Kuala Lumpur - Cheras,Condominium,3,2.0,2.0,850 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Tennis Court
99772353,The Andes Condo Villa @ Bukit Jalil,2018.0,RM 2 000 per month,Kuala Lumpur - Bukit Jalil,Condominium,3,2.0,3.0,1325 sq.ft.,Partially Furnished,"Parking, Security, Lift
100311125,Melur Apartment (Sentul),2006.0,RM 1 750 per month,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,1065 sq.ft.,Fully Furnished,"Security, Minimart, Parking
100258987,Platinum Teratai Residence,2019.0,RM 1 700 per month,Kuala Lumpur - Setapak,Apartment,3,2.0,2.0,928 sq.ft.,Partially Furnished,"Security, Multipurpose hall, Playground
100310568,Serini Melawati,2018.0,RM 3 000 per month,Kuala Lumpur - Taman Melawati,Service Residence,3,1.0,2.0,1376 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Security
